route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore?fromCityId=653&toCityId=122&fromCityName=Chittoor%20(Andhra%20Pradesh)&toCityName=Bangalore&busType=Any&opId=0&onward=19-Jul-2024&srcCountry=IND&destCountry=IND,NueGo,Electric A/C Seater (2+2),21:00,04h 40m,1:40,4,298,44
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore?fromCityId=653&toCityId=122&fromCityName=Chittoor%20(Andhra%20Pradesh)&toCityName=Bangalore&busType=Any&opId=0&onward=19-Jul-2024&srcCountry=IND&destCountry=IND,NueGo,Electric A/C Seater (2+2),23:30,04h 40m,4:10,4.2,314,44
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore?fromCityId=653&toCityId=122&fromCityName=Chittoor%20(Andhra%20Pradesh)&toCityName=Bangalore&busType=Any&opId=0&onward=19-Jul-2024&srcCountry=IND&destCountry=IND,RK Travels,Non A/C Seater / Sleeper (2+1),23:50,04h 30m,4:20,2.9,INR 499,28
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore?fromCityId=653&toCityId=122&fromCityName=Chittoor%20(Andhra%20Pradesh)&toCityName=Bangalore&busType=Any&opId=0&onward=19-Jul-2024&srcCountry=IND&destCountry=IND,Sai Sindhu Travels,NON A/C Sleeper (2+1),0:30,05h 00m,5:30,3.2,2790,25
Chittoor (Andhra Pradesh) to Bangalore Bus,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore?fromCityId=653&toCityId=122&fromCityName=Chittoor%20(Andhra%20Pradesh)&toCityName=Bangalore&busType=Any&opId=0&onward=19-Jul-2024&srcCountry=IND&destCountry=IND,Varsha Travels,A/C Sleeper (2+1),23:30,06h 00m,5:30,1,INR 699,27
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 5655,Super Luxury (Non AC Seater 2+2 Push Back),16:30,09h 40m,2:10,3.7,INR 710,31
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 5667,Super Luxury (Non AC Seater 2+2 Push Back),19:45,08h 45m,4:30,3.8,INR 678,33
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 9147,Super Luxury (Non AC Seater 2+2 Push Back),20:00,09h 30m,5:30,4,INR 678,33
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 6031,Super Luxury (Non AC Seater 2+2 Push Back),20:30,09h 10m,5:40,4.5,INR 710,26
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 6067,STAR LINER(NON-AC SLEEPER 2+1),21:00,08h 40m,5:40,4.2,INR 920,7
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 9235,Super Luxury (Non AC Seater 2+2 Push Back),21:00,08h 25m,5:25,3.1,INR 710,33
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 6035,INDRA(A.C. Seater),21:30,08h 20m,5:50,4.2,INR 859,36
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 6033,Super Luxury (Non AC Seater 2+2 Push Back),22:00,07h 50m,5:50,4.1,INR 710,24
Kadapa to Hyderabad Bus,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad?fromCityId=284&toCityId=124&fromCityName=Kadapa&toCityName=Hyderabad&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,APSRTC - 5651,Super Luxury (Non AC Seater 2+2 Push Back),22:30,09h 25m,7:55,4,INR 710,29
